iter	RMSE
0	0.2307882365
1	0.2261132095
2	0.2221880761
3	0.2186567241
4	0.2156899931
5	0.21304081
6	0.2107959126
7	0.2088495023
8	0.2070344602
9	0.2054737547
10	0.2040809346
11	0.2026061715
12	0.2012741429
13	0.2001323216
14	0.1989796661
15	0.1979317562
16	0.1970272342
17	0.1961717603
18	0.1955244286
19	0.1948020631
20	0.1941368311
21	0.1936617334
22	0.1930246469
23	0.1924813541
24	0.1919058682
25	0.1912885952
26	0.190790649
27	0.190343278
28	0.1898227692
29	0.1891759084
30	0.1888012543
31	0.1882951998
32	0.1879296541
33	0.1875483007
34	0.1872559691
35	0.186820387
36	0.1864221932
37	0.1858513381
38	0.1855040076
39	0.185218576
40	0.1849143556
41	0.1845328192
42	0.1843249889
43	0.1841257485
44	0.1837673139
45	0.183435954
46	0.1830968747
47	0.1827198729
48	0.1824363724
49	0.182267867
50	0.1819887446
51	0.1817112952
52	0.1814269787
53	0.1811387761
54	0.1809499223
55	0.1807556034
56	0.1804504109
57	0.1802449629
58	0.1800166761
59	0.1798252699
60	0.1796146121
61	0.1793824971
62	0.1790991326
63	0.1788050702
64	0.1786480889
65	0.1784469481
66	0.1782656059
67	0.1780762777
68	0.1778751807
69	0.1777466212
70	0.1775966659
71	0.1773515651
72	0.1772154905
73	0.1769502239
74	0.1767761843
75	0.1764685889
76	0.176463548
77	0.1763040517
78	0.1761180586
79	0.1758877562
80	0.1757918641
81	0.1756432818
82	0.1754586272
83	0.1752740524
84	0.1751330195
85	0.1749519703
86	0.1747412378
87	0.1745585875
88	0.1744107141
89	0.1742344004
90	0.1740885603
91	0.1738783194
92	0.1737461888
93	0.1736005775
94	0.1734569747
95	0.1732720111
96	0.1731181863
97	0.1729929713
98	0.1727333891
99	0.172559785
100	0.1724044014
101	0.1721513949
102	0.1719273013
103	0.1718515539
104	0.1717001041
105	0.1715240008
106	0.1713833767
107	0.1711181744
108	0.1709801493
109	0.1707898871
110	0.1706384164
111	0.1705130914
112	0.1702853179
113	0.170116011
114	0.1699054594
115	0.1697735243
116	0.1695533706
117	0.1693866359
118	0.1692515396
119	0.1690584814
120	0.1688776849
121	0.1687270295
122	0.1686362457
123	0.1685358262
124	0.1683053024
125	0.1681500069
126	0.1680112138
127	0.1679080724
128	0.1677863949
129	0.1676669958
130	0.1675141265
131	0.1673534383
132	0.1671285561
133	0.16695109
134	0.1667615481
135	0.16664864
136	0.1665319182
137	0.1663509895
138	0.1662314752
139	0.1660334968
140	0.165850906
141	0.165716011
142	0.1656019525
143	0.1654763263
144	0.1652816977
145	0.1651238148
146	0.1650053681
147	0.1648294739
148	0.1646972497
149	0.1645530974
150	0.1643927772
151	0.1642060296
152	0.1640491227
153	0.1638829037
154	0.1636697465
155	0.163524719
156	0.1633533185
157	0.1632783357
158	0.163153734
159	0.1630475249
160	0.1629112232
161	0.1627628256
162	0.1626392339
163	0.1625363888
164	0.1623441882
165	0.162257249
166	0.1621617052
167	0.1620233304
168	0.161867196
169	0.1617318857
170	0.1616660593
171	0.1615302545
172	0.1614622477
173	0.1613539198
174	0.1611806272
175	0.1611196848
176	0.1609764095
177	0.1608483352
178	0.1607122162
179	0.1606122844
180	0.1604873862
181	0.1604246544
182	0.1603404609
183	0.1601562584
184	0.1600117279
185	0.159905188
186	0.1597909263
187	0.1596438353
188	0.1595620201
189	0.1594585336
190	0.1593307585
191	0.1592193817
192	0.1591075944
193	0.1590467121
194	0.1589675254
195	0.1588128579
196	0.1587123274
197	0.1586046384
198	0.1584887827
199	0.1583821934
200	0.1582606876
201	0.1581582727
202	0.1580527134
203	0.1578506679
204	0.1577031983
205	0.157591495
206	0.1574611404
207	0.1573358326
208	0.1572113895
209	0.1570985959
210	0.1569982027
211	0.1568747421
212	0.1567994614
213	0.1566734673
214	0.1565689119
215	0.1564237139
216	0.1563033071
217	0.1561971286
218	0.1560739358
219	0.1559419699
220	0.1558000649
221	0.155673333
222	0.1555457638
223	0.1554833658
224	0.1553478239
225	0.1552959543
226	0.1551922277
227	0.1550717972
228	0.1549763899
229	0.154923394
230	0.1548552288
231	0.1547597102
232	0.1546323319
233	0.154522717
234	0.1544265157
235	0.154302937
236	0.1541666219
237	0.1540798576
238	0.1539357942
239	0.1538127843
240	0.153725368
241	0.1536650048
242	0.1535419158
243	0.1534280814
244	0.153312626
245	0.1532230573
246	0.1531274626
247	0.153005896
248	0.1528706899
249	0.15282247
250	0.1527438041
251	0.1526385848
252	0.1525203184
253	0.1524148523
254	0.1523178119
255	0.1522307376
256	0.1521474203
257	0.1520526078
258	0.1519077225
259	0.151842719
260	0.1517787628
261	0.1516685422
262	0.1515657475
263	0.151463387
264	0.1513921599
265	0.1512928419
266	0.1511948061
267	0.1511284487
268	0.1510953117
269	0.1510208965
270	0.1509256525
271	0.1508429615
272	0.1507585145
273	0.1506874541
274	0.1506607916
275	0.1505414077
276	0.1504406655
277	0.1502909759
278	0.1501907042
279	0.1500839527
280	0.1499548529
281	0.1498789432
282	0.1497929474
283	0.149727446
284	0.1496323105
285	0.1495562757
286	0.1494545482
287	0.1494062403
288	0.1493373687
289	0.1492798053
290	0.1492144484
291	0.1491440095
292	0.1490691242
293	0.1490194685
294	0.1489094408
295	0.1487885998
296	0.1487241899
297	0.1486928413
298	0.1485478717
299	0.1484971984
300	0.148383881
301	0.1483144352
302	0.1482481821
303	0.1481896025
304	0.1481122534
305	0.1480107085
306	0.1479515894
307	0.1478880607
308	0.1478374329
309	0.1477549342
310	0.1476688742
311	0.1475975403
312	0.1474936889
313	0.1473966745
314	0.1473216717
315	0.147267892
316	0.1471988629
317	0.1471394631
318	0.1471018242
319	0.1470146916
320	0.1469610726
321	0.146886129
322	0.1468095933
323	0.1467711897
324	0.1467000858
325	0.1466407437
326	0.1465739823
327	0.1465115193
328	0.1464412002
329	0.1463833867
330	0.1462843143
331	0.1462165359
332	0.1461165738
333	0.146007282
334	0.1459218261
335	0.1458322709
336	0.1457829601
337	0.1457365095
338	0.1456747876
339	0.1456539041
340	0.1455651324
341	0.1454945571
342	0.1454792015
343	0.1454245442
344	0.1453306659
345	0.1452243433
346	0.1451926482
347	0.1451238592
348	0.1451004176
349	0.1450482868
350	0.1450356623
351	0.1449585365
352	0.1448774208
353	0.1447921594
354	0.1447234528
355	0.1446477418
356	0.1445119689
357	0.1444181601
358	0.1443414589
359	0.1443082269
360	0.1442668735
361	0.1442104258
362	0.144132203
363	0.1440497305
364	0.144021333
365	0.1439290511
366	0.143872826
367	0.1438074554
368	0.143729606
369	0.1436859207
370	0.1436238861
371	0.1435688804
372	0.1435119788
373	0.1434591616
374	0.1434244113
375	0.143338406
376	0.1432796162
377	0.1431714029
378	0.1430787189
379	0.1429896853
380	0.1429264013
381	0.1428225184
382	0.1427331435
383	0.1426482104
384	0.1425861686
385	0.1425189932
386	0.1424135866
387	0.1423271917
388	0.1422732713
389	0.1421987348
390	0.1421484252
391	0.1420902222
392	0.1420363282
393	0.1419069537
394	0.141854971
395	0.1417650356
396	0.1417057425
397	0.1416527314
398	0.1415950958
399	0.1415113482
400	0.1414225746
401	0.141377652
402	0.1413494735
403	0.1412845909
404	0.1411895877
405	0.1411213747
406	0.1410355488
407	0.1410348155
408	0.1409060276
409	0.1408149743
410	0.1407618963
411	0.1407592367
412	0.1406608966
413	0.1406559693
414	0.1406036447
415	0.1405237443
416	0.1404720048
417	0.1404186281
418	0.1403211225
419	0.1402787072
420	0.1402244348
421	0.140115612
422	0.1400625469
423	0.1399658388
424	0.1399151691
425	0.1398281265
426	0.1397436875
427	0.1396650382
428	0.1395971791
429	0.1395152863
430	0.1394015095
431	0.1393500451
432	0.1393006709
433	0.1392230406
434	0.1391736056
435	0.1391282521
436	0.1390440202
437	0.1389948047
438	0.1389258761
439	0.1388331089
440	0.1387991296
441	0.1387520018
442	0.1386739079
443	0.1386513785
444	0.1386042433
445	0.1385273943
446	0.1384215658
447	0.138352849
448	0.1382804894
449	0.1381993745
450	0.1381480257
451	0.1380330705
452	0.1379878307
453	0.1379298071
454	0.1378879897
455	0.1378222717
456	0.1377187793
457	0.1376431129
458	0.1375521819
459	0.1374464917
460	0.137433322
461	0.13740009
462	0.1373108002
463	0.1372637312
464	0.1372076653
465	0.1371524458
466	0.1370698746
467	0.1369611149
468	0.1368700322
469	0.136765968
470	0.1367104934
471	0.1366384543
472	0.1365864027
473	0.1365436272
474	0.1364799118
475	0.1364463064
476	0.136379784
477	0.1362709517
478	0.136230564
479	0.1361723593
480	0.1361134226
481	0.136064769
482	0.1359877419
483	0.1359281076
484	0.1358933676
485	0.1358724567
486	0.1358186507
487	0.1357147656
488	0.1356392861
489	0.1355958219
490	0.1355470472
491	0.1354956553
492	0.1354429773
493	0.1353660233
494	0.1352894307
495	0.1352484813
496	0.1351776839
497	0.1350981739
498	0.1350643351
499	0.1349900847
500	0.1349458756
501	0.1348667164
502	0.1347955388
503	0.1347224996
504	0.1346657123
505	0.1345424129
506	0.1345290797
507	0.1344814578
508	0.1343932236
509	0.1343211765
510	0.1342668119
511	0.134185575
512	0.1341150913
513	0.1340879712
514	0.1340337516
515	0.1339477655
516	0.1338727631
517	0.1338091248
518	0.1337073827
519	0.1336799965
520	0.1336154332
521	0.1335432862
522	0.133431976
523	0.1333137062
524	0.1332874932
525	0.133208673
526	0.1331617627
527	0.1330647555
528	0.1330427515
529	0.1329829033
530	0.132950586
531	0.1329071063
532	0.1328333256
533	0.1327370215
534	0.1326680558
535	0.1325941032
536	0.1325182835
537	0.1324550352
538	0.1324109288
539	0.1323622486
540	0.1322690825
541	0.1322149299
542	0.1321201193
543	0.1320726535
544	0.1319723272
545	0.1319036606
546	0.131857064
547	0.1317998776
548	0.1317022643
549	0.1316656825
550	0.1316222465
551	0.1315744586
552	0.1315186449
553	0.1314519509
554	0.1313989625
555	0.1313454885
556	0.1312654108
557	0.1312447494
558	0.1312007037
559	0.1311444214
560	0.1310975235
561	0.1310674012
562	0.1309917767
563	0.1309359902
564	0.1308775516
565	0.1308062117
566	0.1307349905
567	0.1307274907
568	0.1306745311
569	0.1306472126
570	0.130591748
571	0.1305572084
572	0.1305134894
573	0.1304807465
574	0.1304404676
575	0.1304015708
576	0.1303695938
577	0.1303324942
578	0.1303124584
579	0.130257736
580	0.1302500118
581	0.1301823074
582	0.1301141834
583	0.1300508285
584	0.1300171488
585	0.1299791327
586	0.1299251992
587	0.1298629032
588	0.1297950614
589	0.1297249409
590	0.1296875246
591	0.1296235017
592	0.1295431427
593	0.1294870228
594	0.1293829194
595	0.1293352013
596	0.1292757393
597	0.129227292
598	0.1291697669
599	0.1290897861
600	0.1290337853
601	0.1290102135
602	0.1289660343
603	0.1289595268
604	0.1288909159
605	0.1288351664
606	0.1287880697
607	0.1287469804
608	0.1287440532
609	0.1286996586
610	0.1286993395
611	0.1286462877
612	0.1285709989
613	0.1285221387
614	0.1284600567
615	0.1283794692
616	0.1282694128
617	0.1282437421
618	0.1281661177
619	0.1280602364
620	0.1280413082
621	0.1280385836
622	0.1279573974
623	0.1279082512
624	0.127892546
625	0.1278512982
626	0.127803386
627	0.1277252427
628	0.1276736038
629	0.1276159343
630	0.1275581563
631	0.1274689876
632	0.1274224696
633	0.1273738661
634	0.1273638391
635	0.1272942843
636	0.1272322964
637	0.1271924204
638	0.1271524637
639	0.1270940218
640	0.1270431718
641	0.1270021272
642	0.1269452129
643	0.1269101088
644	0.1268894675
645	0.1268304819
646	0.1267839662
647	0.1267148638
648	0.1266879461
649	0.1266545762
650	0.1266384413
651	0.1265789948
652	0.1265332394
653	0.1264554625
654	0.1264377309
655	0.1263972148
656	0.1263778075
657	0.1262943172
658	0.126256634
659	0.1262053112
660	0.1261658247
661	0.12614743
662	0.1260936811
663	0.126073317
664	0.1260338977
665	0.1259908554
666	0.1259728195
667	0.1259160544
668	0.1258583007
669	0.1258569706
670	0.1258202238
671	0.1258026485
672	0.1257575565
673	0.1256827874
674	0.1256555562
675	0.1255834754
676	0.1255384659
677	0.1254927069
678	0.1254235019
679	0.1253590128
680	0.1253431378
681	0.1252612785
682	0.1251810353
683	0.1251452955
684	0.1250863044
685	0.1250860565
686	0.1249801355
687	0.124943386
688	0.1248799756
689	0.1247849542
690	0.1247807726
691	0.1247339508
692	0.1246802619
693	0.1246427805
694	0.1246080475
695	0.1245692641
696	0.1245668293
697	0.124553566
698	0.124452837
699	0.1244062684
700	0.1243704708
701	0.1242936275
702	0.1242440564
703	0.1241949903
704	0.1241563189
705	0.1241263742
706	0.1241050069
707	0.1240990548
708	0.1240655316
709	0.1240163082
710	0.1239413378
711	0.1238939407
712	0.1238869957
713	0.123881382
714	0.1238048497
715	0.1237581691
716	0.123738608
717	0.1237312039
718	0.1236613065
719	0.1235820232
720	0.1235340263
721	0.1234785726
722	0.1234475439
723	0.123388236
724	0.1233706549
725	0.1233155062
726	0.1232305122
727	0.1231863949
728	0.1231111263
729	0.1230597272
730	0.1229984808
731	0.1229563936
732	0.1228923611
733	0.1228450334
734	0.1228015322
735	0.1227134626
736	0.1226410947
737	0.1226043107
738	0.12257376
739	0.122518317
740	0.1224405235
741	0.1223931259
742	0.1223419309
743	0.1223095885
744	0.1222741802
745	0.1222410643
746	0.122232914
747	0.1221601951
748	0.1221460636
749	0.122081345
750	0.1220811211
751	0.1220379889
752	0.121975928
753	0.1218702138
754	0.1218143315
755	0.1217669169
756	0.1217523809
757	0.1217027798
758	0.1216203342
759	0.121599947
760	0.1215632081
761	0.1215622749
762	0.1215252
763	0.1214890846
764	0.1214523845
765	0.1214074077
766	0.1214028127
767	0.1213695286
768	0.1212854993
769	0.1212344535
770	0.1211902394
771	0.1211187797
772	0.1210808658
773	0.1210424627
774	0.1209839922
775	0.120930109
776	0.1208718696
777	0.1208594982
778	0.1208126002
779	0.1207477186
780	0.1207198153
781	0.120690742
782	0.1206551488
783	0.1206310345
784	0.1206071684
785	0.1205697207
786	0.1205130885
787	0.1204593454
788	0.1203615003
789	0.1203138598
790	0.1202800737
791	0.1202495135
792	0.1201794929
793	0.1201358577
794	0.1201066062
795	0.120017902
796	0.1199698288
797	0.1199426224
798	0.1199148231
799	0.1198901801
800	0.1198660553
801	0.1198280449
802	0.1197634487
803	0.1197250339
804	0.1196422659
805	0.1196104363
806	0.1195682303
807	0.1194973005
808	0.1194709762
809	0.1194191733
810	0.1193816353
811	0.1193575873
812	0.1193234093
813	0.1192879366
814	0.1192696291
815	0.1192020416
816	0.1191548715
817	0.1191295488
818	0.1190883593
819	0.1190459556
820	0.118986145
821	0.1189596462
822	0.1189074761
823	0.1188568178
824	0.1188293575
825	0.1187780914
826	0.1187288708
827	0.1187040518
828	0.118669624
829	0.1186576033
830	0.1186170766
831	0.1185343687
832	0.1184953032
833	0.1184479353
834	0.1184204781
835	0.1183844918
836	0.1183324736
837	0.1183160866
838	0.1182612264
839	0.1182286105
840	0.1181946282
841	0.1181493448
842	0.1180972829
843	0.1180346373
844	0.117979718
845	0.1179490077
846	0.1179253712
847	0.1178740797
848	0.1178134388
849	0.1177881126
850	0.1177454868
851	0.1177281709
852	0.1176623749
853	0.1176229986
854	0.1175447688
855	0.1175016261
856	0.1174567355
857	0.1174099542
858	0.1173636047
859	0.1173295392
860	0.1172988277
861	0.1172303618
862	0.1171573867
863	0.1171525431
864	0.1171264392
865	0.1170557964
866	0.1169788065
867	0.1168965173
868	0.1168652862
869	0.1168272348
870	0.1167782668
871	0.116737176
872	0.1166777948
873	0.1166714462
874	0.1166323924
875	0.1165884361
876	0.1165348572
877	0.1164700897
878	0.1164067618
879	0.1163686287
880	0.1162743548
881	0.1162602086
882	0.1162297467
883	0.1161763436
884	0.1161630304
885	0.1161183167
886	0.1160795799
887	0.1160660283
888	0.1160167711
889	0.1159633862
890	0.1158933173
891	0.1158623891
892	0.1158238278
893	0.1157760454
894	0.1157616546
895	0.1157311875
896	0.1156889271
897	0.1156344328
898	0.1155801952
899	0.1155281891
900	0.1154994428
901	0.1154897007
902	0.1154378226
903	0.1154026718
904	0.1153358772
905	0.1152845426
906	0.1152438582
907	0.1151807963
908	0.1151484779
909	0.1151245204
910	0.1151034143
911	0.1150694145
912	0.1150436005
913	0.1150133552
914	0.1149570512
915	0.1149215044
916	0.1148757316
917	0.1148678095
918	0.1148318753
919	0.1148087311
920	0.1147971067
921	0.1147495831
922	0.1146934683
923	0.1146562002
924	0.1146178487
925	0.1145814231
926	0.1145605108
927	0.1145304692
928	0.1144873955
929	0.1144373455
930	0.1143947564
931	0.1143686654
932	0.1143279864
933	0.1143099651
934	0.114238879
935	0.1142079094
936	0.1141910466
937	0.1141316141
938	0.1140797083
939	0.1140322812
940	0.1140059219
941	0.1139732965
942	0.1139274377
943	0.1138958425
944	0.1138441959
945	0.1138048749
946	0.1137615541
947	0.1137273729
948	0.1137266512
949	0.1136671772
950	0.1136311621
951	0.1136042616
952	0.1135609595
953	0.1135213912
954	0.1134601588
955	0.1134084618
956	0.1133740242
957	0.1133495018
958	0.1133285825
959	0.1132849649
960	0.1132339984
961	0.1131826425
962	0.1131603167
963	0.1131388736
964	0.1131178917
965	0.1130693153
966	0.1130361735
967	0.1129979175
968	0.112920753
969	0.1128343727
970	0.1127763428
971	0.1127450103
972	0.1127141543
973	0.1126766589
974	0.1126569734
975	0.1126345901
976	0.1125894279
977	0.1125488564
978	0.1124830177
979	0.1124462094
980	0.1123985208
981	0.1123769336
982	0.1123350627
983	0.1122723163
984	0.1122243839
985	0.1121971214
986	0.1121516537
987	0.1121167695
988	0.1120827118
989	0.1120217728
990	0.1119695077
991	0.1119292715
992	0.1119090666
993	0.1118585819
994	0.1118336791
995	0.1117580403
996	0.1117079474
997	0.11168101
998	0.1116652391
999	0.1116085055
1000	0.1115578121
1001	0.1115403416
1002	0.1115152026
1003	0.1114824794
1004	0.1114766087
1005	0.1114494692
1006	0.1114199001
1007	0.1113439853
1008	0.1113082466
1009	0.1112751403
1010	0.1112301051
1011	0.1112143097
1012	0.1111260637
1013	0.1110766395
1014	0.1110332121
1015	0.1109755141
1016	0.1109411301
1017	0.1109130124
1018	0.1108854876
1019	0.1108160591
1020	0.1107688074
1021	0.1107244064
1022	0.1106782346
1023	0.1106299746
1024	0.110607658
1025	0.1105737185
1026	0.1105556777
1027	0.1105144312
1028	0.1104624269
1029	0.1104280369
1030	0.1103886606
1031	0.1103703038
1032	0.1103436517
1033	0.110303871
1034	0.1102682854
1035	0.1102459606
1036	0.1102057074
1037	0.1101348573
1038	0.1101213238
1039	0.1100964207
1040	0.1100368927
1041	0.1099858226
1042	0.1099559624
1043	0.1099200607
