iter	Passed	Remaining
0	12	19412
1	24	18647
2	36	18054
3	47	17630
4	58	17477
5	69	17355
6	80	17265
7	93	17351
8	104	17231
9	115	17175
10	126	17094
11	138	17228
12	152	17419
13	163	17304
14	174	17275
15	185	17228
16	196	17174
17	209	17280
18	221	17231
19	231	17166
20	243	17135
21	254	17081
22	265	17020
23	276	17033
24	288	17016
25	299	16964
26	311	16969
27	324	17075
28	336	17043
29	346	17002
30	357	16954
31	385	17673
32	395	17597
33	407	17554
34	417	17487
35	428	17438
36	439	17377
37	450	17328
38	461	17281
39	471	17220
40	483	17211
41	494	17172
42	507	17189
43	519	17192
44	531	17177
45	543	17180
46	557	17247
47	568	17205
48	579	17159
49	590	17123
50	600	17070
51	612	17043
52	622	17003
53	633	16966
54	644	16945
55	659	17002
56	670	16971
57	681	16932
58	692	16903
59	709	17022
60	719	16982
61	731	16970
62	742	16940
63	753	16908
64	773	17080
65	790	17175
66	801	17148
67	812	17114
68	823	17082
69	834	17038
70	844	17006
71	855	16973
72	866	16947
73	878	16925
74	896	17026
75	909	17041
76	912	16858
77	923	16828
78	933	16798
79	944	16757
80	955	16736
81	965	16703
82	976	16669
83	987	16643
84	998	16614
85	1008	16587
86	1019	16561
87	1030	16533
88	1041	16505
89	1051	16476
90	1062	16446
91	1073	16423
92	1083	16398
93	1094	16373
94	1108	16388
95	1118	16361
96	1129	16333
97	1143	16353
98	1153	16330
99	1165	16311
100	1175	16282
101	1187	16271
102	1197	16246
103	1209	16228
104	1219	16207
105	1230	16179
106	1241	16160
107	1252	16140
108	1263	16120
109	1273	16095
110	1284	16073
111	1295	16052
112	1306	16034
113	1317	16013
114	1328	15994
115	1338	15973
116	1349	15956
117	1361	15946
118	1376	15970
119	1387	15951
120	1398	15936
121	1408	15912
122	1419	15890
123	1430	15875
124	1441	15856
125	1452	15835
126	1463	15817
127	1476	15828
128	1487	15806
129	1497	15786
130	1508	15765
131	1519	15749
132	1530	15732
133	1541	15713
134	1552	15695
135	1562	15675
136	1573	15657
137	1584	15641
138	1596	15628
139	1610	15647
140	1621	15630
141	1632	15614
142	1643	15594
143	1653	15572
144	1664	15555
145	1675	15536
146	1686	15527
147	1697	15507
148	1710	15505
149	1721	15492
150	1732	15473
151	1758	15592
152	1770	15588
153	1781	15568
154	1793	15562
155	1804	15544
156	1814	15523
157	1825	15508
158	1836	15491
159	1847	15474
160	1858	15457
161	1869	15443
162	1881	15429
163	1892	15413
164	1902	15396
165	1914	15384
166	1925	15372
167	1936	15354
168	1947	15336
169	1958	15321
170	1968	15300
171	1979	15283
172	1990	15270
173	2001	15253
174	2012	15235
175	2023	15221
176	2034	15205
177	2045	15194
178	2057	15181
179	2068	15169
180	2079	15154
181	2090	15136
182	2100	15118
183	2111	15102
184	2122	15084
185	2133	15069
186	2143	15052
187	2154	15037
188	2165	15021
189	2176	15004
190	2186	14983
191	2196	14965
192	2207	14948
193	2218	14933
194	2229	14920
195	2240	14906
196	2251	14889
197	2261	14872
198	2272	14856
199	2284	14850
200	2294	14831
201	2305	14817
202	2317	14805
203	2329	14799
204	2340	14783
205	2351	14768
206	2361	14753
207	2372	14738
208	2383	14724
209	2394	14709
210	2405	14693
211	2415	14677
212	2427	14664
213	2440	14663
214	2451	14651
215	2462	14638
216	2473	14623
217	2483	14607
218	2498	14614
219	2509	14598
220	2524	14608
221	2535	14597
222	2546	14581
223	2557	14570
224	2570	14568
225	2582	14556
226	2593	14542
227	2604	14528
228	2614	14510
229	2624	14493
230	2637	14487
231	2648	14474
232	2659	14459
233	2673	14466
234	2684	14450
235	2694	14434
236	2705	14420
237	2720	14426
