LOCATIONID,LOCATIONNAME,ZONELEVELID,WKT_geometry,mean_UNITPRICE
0-EU-ES-28-07-001-079-16-002,Conde Orgaz-Piovera,8,"MULTIPOLYGON (((-3.63014 40.44939, -3.62633 40.44955, -3.626601 40.4514, -3.626645 40.45164, -3.626612 40.45222, -3.626485 40.45259, -3.626046 40.45312, -3.625693 40.45334, -3.622712 40.45444, -3.620615 40.45521, -3.62002 40.45548, -3.619525 40.45579, -3.619018 40.45616, -3.618679 40.45654, -3.617495 40.45806, -3.619273 40.45911, -3.62102 40.46016, -3.621747 40.46075, -3.623494 40.46278, -3.623886 40.46259, -3.625576 40.46261, -3.630181 40.46264, -3.630856 40.46264, -3.634108 40.46268, -3.637215 40.46269, -3.637711 40.46264, -3.638242 40.46254, -3.638829 40.46233, -3.639216 40.46208, -3.639893 40.46162, -3.641555 40.46053, -3.641759 40.46033, -3.642459 40.45957, -3.643285 40.45862, -3.644346 40.45725, -3.64458 40.45724, -3.647678 40.45712, -3.648153 40.45711, -3.650526 40.45715, -3.651027 40.45716, -3.651504 40.45717, -3.652083 40.45715, -3.653369 40.45707, -3.65395 40.45701, -3.654163 40.45694, -3.653143 40.45578, -3.651289 40.45366, -3.648121 40.44951, -3.646818 40.44974, -3.645532 40.44974, -3.644518 40.44955, -3.640057 40.4488, -3.638075 40.44855, -3.636482 40.44853, -3.633741 40.44895, -3.632231 40.44919, -3.63014 40.44939)))",4997.529055608871
0-EU-ES-28-07-001-079-16-004,Pinar del Rey,8,"MULTIPOLYGON (((-3.655102 40.46681, -3.654251 40.46691, -3.650633 40.46735, -3.645486 40.46872, -3.643474 40.46925, -3.642566 40.46949, -3.642445 40.46911, -3.642119 40.46906, -3.638757 40.46902, -3.63422 40.46861, -3.633675 40.46867, -3.632873 40.46891, -3.63023 40.46868, -3.62847 40.46837, -3.627883 40.4684, -3.629849 40.47049, -3.631844 40.47228, -3.636122 40.47547, -3.641949 40.47973, -3.647688 40.48079, -3.650051 40.48124, -3.65038 40.4809, -3.651042 40.48026, -3.652353 40.47893, -3.654261 40.47697, -3.654733 40.47624, -3.655498 40.47499, -3.65589 40.47398, -3.65629 40.47322, -3.657225 40.47179, -3.657513 40.47146, -3.657834 40.4712, -3.659067 40.47047, -3.660598 40.46923, -3.662156 40.468, -3.662606 40.46777, -3.662961 40.46762, -3.663422 40.46752, -3.662892 40.46563, -3.66275 40.46513, -3.662676 40.46486, -3.66253 40.46434, -3.662457 40.46407, -3.662068 40.4634, -3.662057 40.4634, -3.661624 40.4631, -3.66127 40.46283, -3.661043 40.46268, -3.660475 40.46229, -3.660315 40.46218, -3.65957 40.46284, -3.659351 40.46302, -3.659216 40.46323, -3.659182 40.46341, -3.659212 40.46366, -3.659299 40.46393, -3.659316 40.46405, -3.659311 40.46416, -3.659397 40.4644, -3.657937 40.46566, -3.657035 40.4662, -3.656508 40.46641, -3.656029 40.46657, -3.655773 40.46666, -3.655102 40.46681)))",2890.2013381920615
0-EU-ES-28-07-001-079-21-004,Timón,8,"MULTIPOLYGON (((-3.581744 40.47973, -3.60157 40.47986, -3.601471 40.47575, -3.601451 40.4736, -3.602798 40.47034, -3.601407 40.46987, -3.599679 40.46943, -3.598319 40.46926, -3.595185 40.46882, -3.587257 40.46863, -3.585376 40.46858, -3.584412 40.46848, -3.583688 40.46833, -3.582727 40.46794, -3.58224 40.4676, -3.581896 40.46825, -3.58144 40.46922, -3.581545 40.47089, -3.581787 40.47211, -3.582404 40.47487, -3.582459 40.47541, -3.582306 40.47604, -3.581397 40.47854, -3.581106 40.47962, -3.581744 40.47973)))",3131.3355578141022
0-EU-ES-28-07-001-079-01-001,Palacio,8,"MULTIPOLYGON (((-3.72044 40.42028, -3.72097 40.42003, -3.721902 40.4174, -3.722305 40.41636, -3.722512 40.41524, -3.722784 40.41402, -3.719843 40.41394, -3.716888 40.4139, -3.718253 40.41118, -3.718106 40.41083, -3.716773 40.4087, -3.714767 40.40782, -3.713002 40.40713, -3.711682 40.4067, -3.71159 40.40687, -3.711374 40.40731, -3.711042 40.40803, -3.710451 40.40875, -3.709962 40.40935, -3.709252 40.41024, -3.70916 40.41037, -3.708407 40.41129, -3.708079 40.41186, -3.70779 40.4124, -3.707549 40.41272, -3.707543 40.41295, -3.70743 40.41343, -3.7078 40.41355, -3.708238 40.41373, -3.708147 40.41401, -3.708043 40.41448, -3.70816 40.41474, -3.708321 40.41505, -3.708473 40.41528, -3.708681 40.4154, -3.708746 40.4155, -3.708728 40.41614, -3.708608 40.41638, -3.708659 40.41674, -3.708695 40.41701, -3.708643 40.41732, -3.708572 40.41774, -3.708751 40.41785, -3.708219 40.41885, -3.708156 40.41908, -3.707992 40.41969, -3.707889 40.4198, -3.708218 40.4203, -3.70728 40.42024, -3.706253 40.42018, -3.70596 40.42022, -3.710879 40.42339, -3.712022 40.42273, -3.712748 40.42232, -3.713267 40.42185, -3.714495 40.42101, -3.715524 40.42032, -3.71941 40.42024, -3.72044 40.42028)))",4841.97800462781
0-EU-ES-28-07-001-079-01-003,Huertas-Cortes,8,"MULTIPOLYGON (((-3.696488 40.41881, -3.699685 40.41976, -3.699738 40.41929, -3.699678 40.41894, -3.699507 40.41834, -3.699371 40.41794, -3.699643 40.41774, -3.699942 40.4173, -3.70008 40.41708, -3.700399 40.4166, -3.700984 40.41613, -3.701785 40.41553, -3.703049 40.41458, -3.703483 40.41414, -3.702944 40.41396, -3.70195 40.41362, -3.701658 40.41352, -3.701381 40.41341, -3.700159 40.41292, -3.696925 40.41125, -3.695572 40.41058, -3.693967 40.40988, -3.692594 40.40936, -3.692148 40.40919, -3.692292 40.40965, -3.693574 40.41339, -3.694269 40.41527, -3.693289 40.41881, -3.693108 40.4195, -3.693684 40.41936, -3.695564 40.41901, -3.696488 40.41881)))",5353.127293428389
0-EU-ES-28-07-001-079-02-001,Imperial,8,"MULTIPOLYGON (((-3.722785 40.41402, -3.722878 40.41285, -3.72215 40.41056, -3.721641 40.40912, -3.721696 40.40829, -3.722558 40.40599, -3.722604 40.40461, -3.722593 40.40437, -3.72243 40.40361, -3.721909 40.40148, -3.721244 40.40065, -3.720287 40.40004, -3.719504 40.39982, -3.716981 40.39993, -3.716316 40.39996, -3.714982 40.39959, -3.714818 40.39993, -3.71423 40.40112, -3.712564 40.40464, -3.712009 40.40588, -3.71186 40.40625, -3.711682 40.4067, -3.712775 40.40705, -3.714803 40.40784, -3.716773 40.4087, -3.717824 40.41038, -3.718105 40.41082, -3.718252 40.41119, -3.716915 40.41389, -3.720665 40.41396, -3.721169 40.41397, -3.721885 40.414, -3.722785 40.41402)))",3956.3377432064517
0-EU-ES-28-07-001-079-02-003,Chopera,8,"MULTIPOLYGON (((-3.698968 40.40035, -3.699255 40.40095, -3.69934 40.40092, -3.699564 40.40068, -3.700269 40.39993, -3.700872 40.39927, -3.700996 40.39914, -3.701788 40.39826, -3.703205 40.39668, -3.704704 40.395, -3.70321 40.39442, -3.702093 40.39348, -3.699357 40.39048, -3.698094 40.38913, -3.695238 40.39099, -3.695079 40.39119, -3.694975 40.39196, -3.694704 40.39421, -3.694946 40.39457, -3.695154 40.39485, -3.695798 40.39577, -3.696281 40.3965, -3.698968 40.40035)))",3690.8894456275752
0-EU-ES-28-07-001-079-02-006,Palos de Moguer,8,"MULTIPOLYGON (((-3.68553 40.40038, -3.685882 40.40068, -3.685031 40.40125, -3.683842 40.40068, -3.682082 40.40187, -3.683919 40.40274, -3.684777 40.40299, -3.683445 40.40511, -3.687407 40.40618, -3.688837 40.40677, -3.692073 40.40899, -3.692378 40.40826, -3.693462 40.40754, -3.69399 40.40735, -3.69915 40.40594, -3.700521 40.40556, -3.701073 40.40542, -3.702576 40.40501, -3.702483 40.40493, -3.702293 40.40468, -3.702006 40.40431, -3.701684 40.40391, -3.700916 40.40292, -3.700627 40.40255, -3.699592 40.40127, -3.699543 40.40121, -3.699462 40.4011, -3.699427 40.40105, -3.69934 40.40092, -3.699256 40.40095, -3.698522 40.40098, -3.693981 40.40076, -3.693037 40.40082, -3.692001 40.40075, -3.688386 40.40057, -3.686798 40.40048, -3.686162 40.40043, -3.685714 40.40035, -3.68553 40.40038)))",4055.7057918458736
0-EU-ES-28-07-001-079-03-002,Adelfas,8,"MULTIPOLYGON (((-3.676743 40.39913, -3.675737 40.39822, -3.674834 40.39715, -3.674097 40.39597, -3.673547 40.3948, -3.673459 40.39446, -3.672476 40.39507, -3.671622 40.3956, -3.669248 40.39838, -3.668389 40.39956, -3.668146 40.39998, -3.667738 40.40082, -3.666924 40.40271, -3.666098 40.40474, -3.665372 40.40626, -3.67011 40.40662, -3.670233 40.40663, -3.670397 40.40623, -3.671073 40.40549, -3.673389 40.40285, -3.676743 40.39913)))",4234.270085748149
0-EU-ES-28-07-001-079-04-002,Goya,8,"MULTIPOLYGON (((-3.668801 40.42389, -3.668726 40.42482, -3.668694 40.42584, -3.668662 40.42622, -3.668564 40.42762, -3.668565 40.42807, -3.668798 40.42821, -3.669027 40.42836, -3.675137 40.42869, -3.676913 40.42877, -3.678312 40.42884, -3.679863 40.42891, -3.680091 40.42592, -3.680326 40.42304, -3.680326 40.42258, -3.680038 40.42167, -3.679503 40.42173, -3.677285 40.42164, -3.668936 40.42119, -3.668801 40.42389)))",5735.134707368521
