Barrio,Precio Venta
Acacias,  4636  
Chopera,  4772 
Delicias,  4972 
Imperial,  5488 
Legazpi,  5247 
Palos de Moguer,  5139 
Castellana,  10319 
Fuente del Berro,  5683 
Goya,  9448 
Guindalera,  5821 
Lista,  9421 
Recoletos,  10977 
Abrantes,  2334 
Comillas,  2709 
Opañel,  2887 
Puerta bonita,  2282 
San Isidro,  2957
Vista Alegre,  2655
Buena Vista,  2500 
Cortes - Huertas,  6894 
Embajadores - Lavapiés,  4911 
Justicia - Chueca,  8276 
Palacio,  6278 
Sol,  7994 
Universidad - Malasaña,  7434 
Castilla,  6074 
El Viso,  7313 
Hispanoamérica - Bernabéu,  6545 
Nueva España,  7368 
Prosperidad,  5833 
Almagro,  9198 
Arapiles,  7131 
Gaztambide,  6031 
Ríos Rosas - Nuevos Ministerios,  7679 
Trafalgar,  7847 
Vallehermoso,  6145 
Costillares,  5333 
Pueblo Nuevo,  3574 
Quintana,  3930 
Ventas,  3227 
Peñagrande,  5325 
Pinar del Rey,  4919 
Sanchinarro,  4791 
Virgen del Cortijo - Manoteras,  4738 
Aluche,  2592 
Los Cármenes,  2540 
Lucero,  2711 
Puerta del Ángel,  3921
Argüelles,  6683 
Entrevías,  1693 
Numancia,  2871 
Palomeras bajas,  2170
Palomeras sureste,  2498 
Portazgo,  2571 
San Diego,  2309
Adelfas,  5282 
Estrella,  5545 
Ibiza de Madrid,  8761 
Jerónimos,  9435 
Pacífico,  5029 
Amposta,  2038 
Canillejas,  3331 
Rejas,  3374
Simancas,  3393 
Bellas Vistas,  4614 
Berruguete,  4233 
Cuatro Caminos - Azca,  5851 
Valdeacederas,  4323 
Castillejos - Cuzco,  6550 
Almendrales,  2437 
Moscardó,  3297 
Orcasitas,  2180 
Pradolongo,  2376
Orcasur - 12 de Octubre,  2113 
Casco Histórico de Vallecas,  2322 
Ensanche de Vallecas - La Gavia,  3330 
Los Ángeles,  2177 
Los Rosales,  2152 
San Cristóbal,  1333 
Villaverde Alto,  1771
