Barrio,Precio m2
Abrantes,2529
Acacias,5062
Adelfas,5256
Alameda de Osuna,4090
Almagro,8842
Almendrales,2940
Aluche,2900
Amposta,2281
Apóstol Santiago,3637
Arapiles,6132
Aravaca,5011
Arcos,2659
Argüelles,6228
Arroyo del Fresno,4690
Bellas Vistas,4500
Bernabéu-Hispanoamérica,6556
Berruguete,4280
Buena Vista,2725
Butarque,2680
Campamento,2746
Canillas,4174
Casco Histórico de Barajas,3791
Casco Histórico de Vallecas,2523
Castellana,9526
Castilla,5594
Chopera,4925
Chueca-Justicia,7989
Ciudad Jardín,5877
Ciudad Universitaria,4998
Colina,5838
Comillas,3405
Concepción,4244
Conde Orgaz-Piovera,5392
Costillares,4997
Cuatro Caminos,5814
Cuzco-Castillejos,5776
Delicias,5056
El Plantío,2982
El Viso,8067
Ensanche de Vallecas - La Gavia,3377
Estrella,5124
Fontarrón,2824
Fuente del Berro,5677
Gaztambide,6105
Goya,8543
guilas,2781
Guindalera,5699
Huertas-Cortes,7300
Ibiza,7813
Imperial,5306
Jerónimos,8285
Las Tablas,4244
Lavapiés-Embajadores,5146
Legazpi,5158
Lista,8596
Los Cármenes,2623
Los Rosales,2344
Lucero,2954
Malasaña-Universidad,6814
Marroquina,3559
Montecarmelo,5217
Moscardó,3067
Niño Jesús,5966
Entrevías,2065
Nueva España,6687
Nuevos Ministerios-Ríos Rosas,7079
Numancia,2684
Opañel,2889
Orcasitas,2191
Pacífico,5100
Palacio,6200
Palomas,4427
Palomeras Bajas,2455
Palomeras sureste,2483
Palos de Moguer,5108
Pau de Carabanchel,3435
Peñagrande,4540
Pilar,4010
Pinar del Rey,3534
Portazgo,2433
Pradolongo,2683
Prosperidad,5704
Pueblo Nuevo,3409
Puerta Bonita,2578
Puerta del Ángel,3595
Quintana,3805
Recoletos,10345
Rejas,3416
Rosas,3599
Salvador,4094
San Andrés,2180
San Cristóbal,1508
San Diego,2557
San Fermín,2467
San Isidro,2941
San Juan Bautista,4670
San Pascual,4026
Sanchinarro,4525
Simancas,3292
Sol,7311
Trafalgar,7515
Tres Olivos - Valverde,3125
Valdeacederas,4319
Valdebebas - Valdefuentes,4725
Valdemarín,5286
Valdezarza,4056
Vallehermoso,6384
Ventas,3504
Ventilla-Almenara,4208
Virgen del Cortijo - Manoteras,4404
Casco Histórico de Vicálvaro,3093
Valdebernardo - Valderribas,3093
El Cañaveral - Los Berrocales,3093
Aeropuerto,3899
Timón,3899
Campo de las Naciones-Corralejos,3899
Ambroz,3093
Atalaya,3971
Canillejas,3123
Casa de Campo,5095
Cuatro Vientos,2993
El Pardo,4225
Fuentelarreina,4225
Hellin,3123
Horcajo,3213
La Paz,4225
Los Angeles,2167
Media Legua,3213
Mirasierra,4225
Pavones,3213
Santa Eugenia,2910
Vinateros,3213
Vista Alegre,2817
Zofio,2688
Aguilas,2781
